Categories,Spring.mean,Spring.low25,Spring.upp75,Spring.shape1,Spring.shape2,Summer.mean,Summer.low25,Summer.upp75,Summer.shape1,Summer.shape2,Autumn.mean,Autumn.low25,Autumn.upp75,Autumn.shape1,Autumn.shape2,HF.mean,HF.low25,HF.upp75,HF.shape1,HF.shape2
Barren,0.25400681,0.15210304,0.33832523,2.45919686,7.22242105,0.2788825,0.19421871,0.35272666,4.02974517,10.4198714,0.22354267,0.1291526,0.29957719,2.32780195,8.08543124,0.25328023,0.1561004,0.3342455,2.68102244,7.90417982
Deciduous Forest,0.6965277,0.49640108,0.94557947,1.16410514,0.50719257,0.52535467,0.27182042,0.78530541,0.99338039,0.89749533,0.40146073,0.08811663,0.69278974,0.4963797,0.74005432,0.53000596,0.21719347,0.84952675,0.66319754,0.58810451
Developed/High Intensity,0.31988311,0.1473771,0.4634848,1.25559343,2.66956987,0.44931975,0.29780232,0.59445478,2.39911094,2.94031819,0.26370186,0.12020345,0.37703767,1.34184184,3.74663896,0.34289447,0.17114248,0.49001976,1.39589845,2.67502887
Developed/Low Intensity,0.52503887,0.3890193,0.66379603,3.28214768,2.96909932,0.59369622,0.45146219,0.74804076,3.06899348,2.10030584,0.47810033,0.28336188,0.66870588,1.56441843,1.70773668,0.53672637,0.37414,0.70482702,2.34055986,2.02024669
Developed/Med Intensity,0.40767384,0.21417185,0.58421359,1.37251859,1.99418892,0.53192659,0.3323154,0.73801015,1.57289747,1.38408476,0.38915624,0.18747016,0.56924062,1.20251577,1.88754334,0.4396432,0.23047972,0.63644663,1.2767855,1.62735473
Developed/Open Space,0.45579247,0.19431261,0.70608828,0.85816956,1.02463813,0.54579215,0.34693983,0.75400355,1.59265488,1.32540632,0.45861913,0.24946484,0.65925469,1.3245801,1.56361191,0.48861248,0.26503167,0.70962585,1.22097896,1.27789084
Evergreen Forest,0.43138582,0.1596346,0.68560978,0.75178448,0.99093503,0.43795334,0.20999576,0.65186078,1.07915678,1.384934,0.36353054,0.14517242,0.55229092,0.94254691,1.65021161,0.41525368,0.17185349,0.63827603,0.89827803,1.26492504
Grassland Herbaceous,0.57122115,0.26213864,0.8952885,0.67819859,0.50907991,0.63335592,0.20748712,0.99572758,0.31679757,0.18339128,0.47930309,0.07325916,0.88952841,0.33719305,0.36631389,0.57392254,0.164676,0.96571414,0.382144,0.28370195
Herbaceous Wetlands,0.46054938,0.30528355,0.61061913,2.33830228,2.7388998,0.5442359,0.2488505,0.85033348,0.74520662,0.62406472,0.43703062,0.1042384,0.7577872,0.49158545,0.63324523,0.47352604,0.19456772,0.74568837,0.78048057,0.867751
Mixed Forest,0.58484802,0.29509114,0.894432,0.76056873,0.5398866,0.46176818,0.1794064,0.73433446,0.74576631,0.86925687,0.40016275,0.09118344,0.68611393,0.51103796,0.76603734,0.48222342,0.1740739,0.78612214,0.64869643,0.69652324
Open Water,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
Pasture/Hay,0.29374062,0.07578093,0.46499171,0.66535137,1.59974694,0.41659927,0.10878958,0.70468787,0.55001286,0.77023157,0.36874168,0.18556024,0.52950327,1.35528327,2.32014408,0.36272984,0.11467665,0.57714905,0.72061244,1.26602434
Shrubland,0.69934727,0.54121967,0.89727013,2.00405677,0.86155358,0.5782976,0.2719346,0.90117369,0.68652282,0.50062168,0.45189095,0.14321485,0.74906234,0.60742924,0.73676506,0.56049274,0.27264409,0.86316053,0.78237465,0.61349472
Woody Wetlands,0.59402321,0.45595493,0.74362626,3.25750091,2.22629305,0.52743573,0.40771207,0.64954441,4.22056032,3.78147685,0.43106089,0.1598077,0.68471046,0.75395829,0.99511779,0.51364893,0.31778214,0.71217267,1.6110136,1.5253963
Other hay,0.24057446,0.051573,0.37621416,0.6176867,1.94986231,0.42219481,0.13398661,0.69067824,0.64817559,0.88707679,0.32726926,0.04815613,0.56456494,0.4382401,0.90084108,0.33241567,0.06685673,0.55587921,0.5239073,1.05215346
Grassland/Pasture,0.39559224,0.09606078,0.66983211,0.54032548,0.82553922,0.53152219,0.12966702,0.92891722,0.3911719,0.34477461,0.40312819,0.07676006,0.71081305,0.45027758,0.66668123,0.45042872,0.09376331,0.80162316,0.43378176,0.5292602
Wetlands,0.52407273,0.36695977,0.68455859,2.47955688,2.25176516,0.53281892,0.29679656,0.77680999,1.14271003,1.00193984,0.44587511,0.14065714,0.73795301,0.61285021,0.7616383,0.48359916,0.24012265,0.72308105,1.03130212,1.10125354
Alfalfa,0.24408176,0.01965186,0.40488572,0.36866774,1.14175948,0.52342519,0.29589599,0.75643409,1.2196306,1.11046477,0.22686515,0.02018185,0.36778397,0.39089371,1.33212856,0.31329156,0.04768697,0.53251835,0.45510655,0.99755486
Corn,0.09025383,0.00176095,0.11650725,0.27225125,2.74425516,0.27470743,0.11091931,0.40340713,1.09917587,2.90208422,0.13230948,0.02565896,0.19492544,0.64562249,4.23401636,0.15723642,0.01408901,0.23692256,0.41914759,2.24656806
Bean,0.24359554,0.06766223,0.37240715,0.75678462,2.34994151,0.39715084,0.15206588,0.61736246,0.83961014,1.27447362,0.18586747,0.01538354,0.28859686,0.39519943,1.73104365,0.26858379,0.05374341,0.43024236,0.56928186,1.55028713
Berries,0.61841047,0.38830551,0.87824207,1.14083911,0.70395357,0.46316854,0.13965918,0.77870909,0.5641449,0.65386723,0.2345654,0.04341108,0.36942636,0.56336373,1.83837045,0.44121795,0.12762837,0.74117715,0.57064752,0.7226986
Strawberries,0.45101607,0.22219345,0.6686723,1.10059001,1.33965567,0.32200322,0.09564792,0.50737303,0.72356848,1.52351614,0.13092563,0.01427609,0.19285745,0.46800233,3.10656387,0.29745937,0.06265886,0.48325919,0.56790947,1.34129067
Citrus,0.34494022,0.02472574,0.64611885,0.31111324,0.59082056,0.38611901,0.10955962,0.63374592,0.62492512,0.99355286,0.36251373,0.04739584,0.65151286,0.391291,0.68809158,0.35821233,0.05127221,0.6352576,0.41250921,0.73906814
Cotton,0.39644857,0.13069783,0.63597345,0.70843751,1.07852193,0.31604149,0.01859161,0.58201698,0.30181375,0.65316768,0.16558153,6.17E-06,0.18289793,0.10584693,0.53339664,0.25961846,0.00288068,0.46876309,0.20789465,0.59287524
Cucurbits,0.27164317,0.00494935,0.49570163,0.22896751,0.61393059,0.62748894,0.50948165,0.75795572,4.40871692,2.61725067,0.31729,0.0688647,0.52041193,0.56420752,1.21400017,0.3606106,0.05967101,0.62994903,0.44494679,0.78892375
Grain,0.11008896,0.00575933,0.15519297,0.35582302,2.87631768,0.28218173,0.16824045,0.37796651,2.32834467,5.92287952,0.13347815,0.03044233,0.19593906,0.72490203,4.70596475,0.16880584,0.02951606,0.25500134,0.58285603,2.86996314
Buckwheat,0.27642827,0.0019641,0.52522542,0.18690774,0.48924505,0.55282229,0.22902656,0.88670133,0.62287857,0.5038462,0.32343415,0.00106996,0.70096133,0.1545302,0.32324929,0.37126829,0.0095573,0.76941388,0.2187647,0.37047146
Grass,0.20626078,0.07111569,0.30295894,0.98537682,3.79195817,0.33780213,0.20949431,0.45040431,2.38876428,4.68272541,0.21256653,0.07896219,0.30993697,1.06905067,3.96020136,0.24549423,0.09968279,0.3568341,1.1531072,3.54397753
Grapes,0.23897934,0.00780695,0.40442,0.27520924,0.87639339,0.30373687,0.05296141,0.50557152,0.49844349,1.14259366,0.1494341,0.00052921,0.19811281,0.185729,1.05715333,0.22412637,0.00582856,0.37096885,0.26262388,0.90914309
Herbs,0.30184416,0.00208584,0.60764196,0.18053703,0.41757634,0.55980437,0.12827828,0.96787418,0.33812172,0.26587806,0.32681347,7.64E-05,0.78252811,0.10786647,0.22218867,0.37714837,0.00253847,0.84321716,0.1619109,0.26739204
Melons,0.23065554,0.00290527,0.3893714,0.21989763,0.73346179,0.63511599,0.44026154,0.86029556,1.54948517,0.89020331,0.18995967,0.01824144,0.29572248,0.4189185,1.78638389,0.32233502,0.02446478,0.58686779,0.32798971,0.68955318
Watermelons,0.283773,0.02343659,0.49195647,0.35592744,0.89834074,0.57046475,0.39830165,0.75469971,2.11079206,1.589335,0.16514605,0.02175918,0.25031182,0.4982017,2.51853235,0.32075455,0.05189386,0.54508663,0.46606156,0.98695466
Oilseed,0.49646555,0.20199578,0.79005006,0.72531764,0.73564505,0.55002486,0.23483615,0.87576609,0.65685479,0.53737267,0.22757243,0.0222902,0.36797002,0.40688562,1.38105336,0.43419965,0.10303284,0.75255943,0.49261149,0.64191613
Flowers,0.43725303,0.119196,0.74124566,0.5464898,0.70333529,0.67993871,0.43598967,0.96484549,0.81437725,0.3833443,0.41816177,0.02730518,0.83211767,0.26676028,0.37117532,0.49545325,0.10595778,0.8851923,0.39591789,0.40318453
Wildflowers,0.69282959,0.53994367,0.88149138,2.22525405,0.98658054,0.84397161,0.76679331,0.99162478,1.87132327,0.34595898,0.68429747,0.55242088,0.84189568,3.18536599,1.46957741,0.75210589,0.60761828,0.95152416,1.74425725,0.5749072
Orchard,0.58397209,0.38953215,0.79583556,1.65538627,1.17931472,0.29395018,0.01751384,0.52624565,0.31170608,0.74869839,0.12347428,0.0751154,0.16114119,3.06050507,21.7260751,0.34457828,0.07028586,0.57993953,0.51928103,0.9877235
Root Vegs,0.17892535,0.00062772,0.2590902,0.18119804,0.83150384,0.28631204,0.01811109,0.50586194,0.3212192,0.8007008,0.17673087,0.00448403,0.2686081,0.2724138,1.26899098,0.21390243,0.00384562,0.34784874,0.24202057,0.88943254
Solanums,0.30053698,0.05613855,0.49558383,0.52230651,1.21560446,0.42504376,0.19199228,0.64076195,1.00344917,1.35736464,0.24533265,0.06072971,0.37982922,0.68480368,2.10652342,0.32228446,0.08448997,0.5173009,0.64746727,1.36152589
Vegs,0.22463434,0.01100276,0.36874572,0.31523763,1.08809914,0.34076349,0.07368056,0.56776189,0.54360466,1.05165033,0.17794377,0.02082938,0.27309124,0.46391945,2.14319315,0.25493937,0.02610058,0.42315505,0.40267363,1.17681418
Tobacco,0.29991308,0.03042544,0.52154089,0.37999412,0.88702003,0.27717757,0.00791806,0.5023123,0.25464932,0.66407337,0.23806936,0.00329845,0.40811823,0.22286635,0.71327407,0.26839937,0.0088463,0.4766905,0.26740457,0.728889
Other Crops,0.290145,0.00526164,0.54828499,0.22395052,0.54790671,0.35212264,0.00676928,0.72916143,0.20947492,0.38541703,0.26598173,0.00327599,0.48568369,0.21107191,0.58248602,0.31208755,0.00570146,0.61251421,0.21844225,0.48149676
