Categories,Ground.mean,Ground.low25,Ground.upp75,Ground.shape1,Ground.shape2,Cavity.mean,Cavity.low25,Cavity.upp75,Cavity.shape1,Cavity.shape2,Stem.mean,Stem.low25,Stem.upp75,Stem.shape1,Stem.shape2,Wood.mean,Wood.low25,Wood.upp75,Wood.shape1,Wood.shape2,HN.mean,HN.low25,HN.upp75,HN.shape1,HN.shape2
Barren,0.26542052,0.0090027,0.46862301,0.27045337,0.74850842,0.08116757,0.00051746,0.09395774,0.21580675,2.44297383,0.0494285,0.00081328,0.05873395,0.26829443,5.15963591,0.0497562,0.00086167,0.05944447,0.2715096,5.18528983,0.21303921,0.00337623,0.34580949,0.23524569,0.86899089
Deciduous Forest,0.50917844,0.10215634,0.91455908,0.36531335,0.35214309,0.7164958,0.5134121,0.97275162,0.95761157,0.37890927,0.5090166,0.06013321,0.95225407,0.27423155,0.2645162,0.8506263,0.77809724,0.99104397,2.05829093,0.3614449,0.55172176,0.15517412,0.94198326,0.40951266,0.33273224
Developed/High Intensity,0.08116503,0.00039636,0.09172112,0.20560043,2.32751548,0.13721412,6.54E-05,0.15388137,0.14122451,0.88800276,0.11330088,0.00053877,0.1384503,0.20039953,1.56833805,0.11924154,0.00026578,0.14011208,0.1763297,1.30243096,0.09234521,0.00014338,0.09683511,0.17009124,1.67181516
Developed/Low Intensity,0.33539188,0.05089842,0.58049379,0.44044537,0.87278073,0.21249124,0.00253976,0.34426541,0.22121294,0.81983204,0.19923771,0.00295562,0.31392973,0.23468114,0.94321408,0.19859441,0.00098066,0.30746462,0.18888386,0.76221978,0.29073516,0.01604661,0.52065691,0.3049234,0.74387784
Developed/Med Intensity,0.1858751,0.00265326,0.28443223,0.23540055,1.03104421,0.19260787,0.00034839,0.2860576,0.16158633,0.6773531,0.17359906,0.00325281,0.26058599,0.25324298,1.20553783,0.13799708,0.0001629,0.16511082,0.15870096,0.99133028,0.17165579,0.00113707,0.2487584,0.20375844,0.98325915
Developed/Open Space,0.35621047,0.04018943,0.6468251,0.3683778,0.6657799,0.24241705,0.00669931,0.41416925,0.2620419,0.81891299,0.24269441,0.00743129,0.41388844,0.26930282,0.84033471,0.19597988,0.0023081,0.30570113,0.22381402,0.91821146,0.32379916,0.02435701,0.59088229,0.32623822,0.68129443
Evergreen Forest,0.43762411,0.03085487,0.86878556,0.2639374,0.33917699,0.50942533,0.13025819,0.88868192,0.43403969,0.41797859,0.47195741,0.12181478,0.81806768,0.48289352,0.54027829,0.53506377,0.08123651,0.96714698,0.28659417,0.24903202,0.43861668,0.03646519,0.85964304,0.28020387,0.35863154
Grassland Herbaceous,0.80702047,0.69711545,0.99069369,1.3519575,0.32328812,0.58342736,0.30782738,0.87975379,0.83936212,0.59931247,0.38938638,0.07387823,0.68132922,0.46046914,0.72208158,0.11175384,0.00391383,0.15480215,0.31340559,2.49102229,0.69290667,0.44737014,0.97837314,0.73420312,0.32539574
Herbaceous Wetlands,0.1573877,0.00045206,0.21150245,0.17844189,0.95533091,0.14518066,0.00036294,0.186393,0.17619689,1.03744196,0.35881011,0.00410172,0.77070914,0.18481061,0.33025462,0.23917946,1.54E-05,0.42014782,0.10437753,0.33202085,0.15601586,0.0003345,0.20572717,0.17069884,0.92341323
Mixed Forest,0.65537847,0.43767275,0.91195852,1.16526597,0.61273868,0.68229967,0.45279769,0.95619765,0.92175182,0.42919683,0.67681079,0.46705296,0.93072921,1.16129091,0.55453711,0.83909052,0.75668514,0.98612177,2.14413673,0.41117367,0.67698505,0.4714789,0.92639162,1.21473612,0.57959616
Open Water,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
Pasture/Hay,0.30900093,0.02756113,0.54775535,0.35570684,0.79544452,0.24919914,0.02126603,0.41475896,0.37523713,1.13053506,0.11804744,0.00389087,0.16452177,0.30653373,2.29016576,0.06040384,0.00120576,0.07437313,0.27918148,4.3427345,0.29022764,0.02353446,0.50741934,0.35060802,0.85743688
Shrubland,0.76435046,0.62194451,0.9674062,1.54243307,0.47553271,0.67368816,0.45219491,0.93871932,1.04391726,0.50563833,0.69888231,0.52294849,0.92029837,1.56165727,0.67284953,0.45725274,0.06210758,0.8586008,0.33410991,0.39657989,0.7197266,0.53311697,0.96084428,1.16514392,0.45372625
Woody Wetlands,0.14081229,0.00080993,0.18709087,0.20331754,1.24057304,0.34344233,0.00935389,0.68891227,0.23128946,0.44215536,0.38700488,0.0130293,0.79704244,0.22919106,0.36302644,0.45210544,0.03741718,0.8865725,0.27187653,0.32947994,0.22125925,0.00151491,0.36575001,0.19635941,0.69110363
Other hay,0.20361605,0.00114279,0.32038487,0.19238426,0.75245411,0.12984552,0.00112649,0.17191311,0.22159477,1.48500833,0.10363701,0.00333519,0.14121261,0.30768972,2.66122752,0.09537101,0.01683366,0.1376243,0.62748724,5.9519468,0.1758759,0.00074143,0.2539216,0.18733265,0.87780843
Grassland/Pasture,0.42536589,0.02681213,0.85032513,0.25990881,0.35111529,0.31042048,0.0150084,0.57506048,0.28504144,0.6332016,0.2092032,0.00811302,0.33657913,0.29770625,1.12534199,0.09189411,0.00457221,0.12639143,0.35466881,3.50486915,0.38334549,0.01665502,0.77348355,0.24826984,0.39937006
Wetlands,0.13664928,0.00051892,0.17526677,0.18968119,1.19840657,0.25459543,0.00166107,0.45934325,0.18831484,0.55134824,0.36797632,0.00658861,0.7775421,0.20121389,0.34559818,0.31275873,0.00066199,0.67519147,0.14605761,0.3209401,0.1937617,0.00094511,0.29579567,0.189267,0.78753593
Alfalfa,0.22153199,0.00305281,0.36628176,0.22620108,0.79487531,0.12852272,0.00012835,0.14685878,0.15617099,1.05895257,0.12916903,0.00109333,0.17050285,0.22062276,1.48739321,0.1480875,0.02488665,0.22087296,0.5803022,3.33834187,0.19359403,0.00206062,0.29984483,0.21957999,0.91464916
Corn,0.14518538,2.89E-05,0.1589383,0.12698429,0.7476512,0.08947642,0.00017017,0.09477824,0.17553997,1.78631743,0.10694374,0.00343542,0.14641351,0.30679781,2.5619799,0.10261136,0.02231894,0.14851164,0.71993325,6.29618321,0.13833142,9.32E-05,0.15962148,0.14731632,0.91763569
Bean,0.19932859,0.00146913,0.31129429,0.20311124,0.81586569,0.11568643,2.13E-05,0.10937382,0.12858033,0.98287524,0.12631741,0.00051718,0.15815352,0.19353176,1.33857497,0.14706059,0.01655256,0.21972462,0.46842277,2.7168139,0.1760931,0.00076744,0.25468273,0.18836839,0.8813407
Berries,0.34709186,0.04309824,0.61939222,0.39064387,0.73483303,0.1615674,0.00533992,0.24078658,0.29645115,1.53839393,0.41333926,0.13377838,0.67078583,0.67293068,0.95510409,0.12520934,0.0026544,0.17259815,0.27109497,1.89403876,0.30391237,0.02426449,0.54014981,0.34258272,0.78465907
Strawberries,0.27610878,0.00038657,0.54762576,0.14357259,0.37641303,0.09142524,0.00442254,0.12547427,0.35150583,3.49322925,0.06434242,0.00112583,0.07881704,0.26972036,3.92223192,0.04828382,0.00347347,0.0648546,0.41768325,8.23290149,0.22602392,0.00038965,0.37759665,0.15571531,0.53321756
Citrus,0.28861913,0.02569385,0.5006252,0.36469275,0.89888512,0.30308347,0.05772776,0.49967721,0.52701394,1.21182697,0.21487691,0.00259237,0.35004295,0.22116497,0.80809858,0.2843652,0.07675978,0.44533577,0.70015408,1.76201105,0.28718199,0.02784733,0.49451066,0.37863962,0.93982615
Cotton,0.33558978,0.10247274,0.53005091,0.72765571,1.44063356,0.22867787,0.00189867,0.38519708,0.20230842,0.68237891,0.23352933,0.00265994,0.39715016,0.21465332,0.70451738,0.27744418,0.0472067,0.45373624,0.50823417,1.3236088,0.29670855,0.03870071,0.50423817,0.42906735,1.01702292
