lucode,CLASS_NAME,curvenum_ref,CN_A,CN_B,CN_C,CN_D
1,Corn,row crop,64,74,81,85
4,Sorghum,row crop,64,74,81,85
5,Soybeans,row crop,64,74,81,85
6,Sunflower,row crop,64,74,81,85
12,Sweet Corn,row crop,64,74,81,85
14,Mint,row crop,64,74,81,85
21,Barley,small grain,60,72,80,83
23,Spring Wheat,small grain,60,72,80,83
24,Winter Wheat,small grain,60,72,80,83
26,Dbl Crop WinWht/Soybeans,small grain/row crop,60,72,80,83
27,Rye,small grain,60,72,80,83
28,Oats,small grain,60,72,80,83
29,Millet,small grain,60,72,80,83
35,Mustard,row crop,64,74,81,85
36,Alfalfa,close-seeded legumes,55,69,78,83
37,Other Hay/Non Alfalfa,"pasture, grass, range",49,69,79,84
39,Buckwheat,small grain,60,72,80,83
41,Sugarbeets,row crop,64,74,81,85
42,Dry Beans,row crop,64,74,81,85
43,Potatoes,row crop,64,74,81,85
44,Other Crops,row crop,64,74,81,85
46,Sweet Potatoes,row crop,64,74,81,85
47,Misc Vegs & Fruits,row crop,64,74,81,85
49,Onions,row crop,64,74,81,85
50,Cucumbers,row crop,64,74,81,85
53,Peas,row crop,64,74,81,85
57,Herbs,row crop,64,74,81,85
58,Clover/Wildflowers,close-seeded legumes,55,69,78,83
59,Sod/Grass Seed,"pasture, grass, range",49,69,79,84
60,Switchgrass,"pasture, grass, range",49,69,79,84
61,Fallow/Idle Cropland,fallow,77,86,91,94
64,Shrubland,brush-weed-grass,35,56,70,77
65,Barren,fallow,77,86,91,94
68,Apples,woods-grass,43,65,76,82
70,Christmas Trees,woods-grass,43,65,76,82
111,Open Water,na,99,99,99,99
121,Developed/Open Space,developed-open,39,61,74,80
122,Developed/Low Intensity,residential-1/3 ac,57,72,81,86
123,Developed/Med Intensity,residential-1/8 ac,77,85,90,92
124,Developed/High Intensity,urban-commercial,89,92,94,95
131,Barren,fallow,77,86,91,94
141,Deciduous Forest,woods,36,60,73,79
142,Evergreen Forest,woods,36,60,73,79
143,Mixed Forest,woods,36,60,73,79
152,Shrubland,brush-weed-grass,35,56,70,77
176,Grassland/Pasture,"pasture, grass, range",49,69,79,84
190,Woody Wetlands,woods,36,60,73,79
195,Herbaceous Wetlands,meadow,30,58,71,78
205,Triticale,small grain,60,72,80,83
206,Carrots,row crop,64,74,81,85
216,Peppers,row crop,64,74,81,85
222,Squash,row crop,64,74,81,85
225,Dbl Crop WinWht/Corn,small grain/row crop,60,72,80,83
226,Dbl Crop Oats/Corn,small grain/row crop,60,72,80,83
228,Dbl Crop Triticale/Corn,small grain/row crop,60,72,80,83
229,Pumpkins,row crop,64,74,81,85
237,Dbl Crop Barley/Corn,small grain/row crop,60,72,80,83
243,Cabbage,row crop,64,74,81,85
250,Cranberries,row crop,64,74,81,85
