lucode,name,LULC,source,source class,usle_c,usle_p,dbl1_usle_c,dbl2_usle_c
65,Barren,Barren,Woznicki et al. 2020,barren land,0.29,1,,
131,Barren,Barren,Woznicki et al. 2020,barren land,0.29,1,,
1,Corn,Croplands,Borrelli et al. 2020,cereal grains-maize,0.38,1,,
4,Sorghum,Croplands,Borrelli et al. 2020,cereal grains-various,0.2,1,,
5,Soybeans,Croplands,Borrelli et al. 2020,legumes vegetables-various,0.32,1,,
6,Sunflower,Croplands,Borrelli et al. 2020,oilseed group-various,0.25,1,,
12,Sweet Corn,Croplands,Borrelli et al. 2020,cereal grains-maize,0.38,1,,
14,Mint,Croplands,Borrelli et al. 2020,shrubs herbs and spices group-shrubs herbs and spices,0.15,1,,
21,Barley,Croplands,Borrelli et al. 2020,cereal grains-various,0.2,1,,
23,Spring Wheat,Croplands,Borrelli et al. 2020,cereal grains-various,0.2,1,,
24,Winter Wheat,Croplands,Borrelli et al. 2020,cereal grains-various,0.2,1,,
26,Dbl Crop WinWht/Soybeans,Croplands,Borrelli et al. 2020,legumes vegetables-various,0.32,1,,
27,Rye,Croplands,Borrelli et al. 2020,cereal grains-various,0.2,1,,
28,Oats,Croplands,Borrelli et al. 2020,cereal grains-various,0.2,1,,
29,Millet,Croplands,Borrelli et al. 2020,cereal grains-various,0.2,1,,
35,Mustard,Croplands,Borrelli et al. 2020,oilseed group-various,0.25,1,,
36,Alfalfa,Croplands,Borrelli et al. 2020,"forage, fodder, and straw of cereal grains group-mixed-legumes",0.15,1,,
37,Other Hay/Non Alfalfa,Croplands,Borrelli et al. 2020,"forage, fodder, and straw of cereal grains group-mixed-grasses",0.1,1,,
39,Buckwheat,Croplands,Borrelli et al. 2020,cereal grains-various,0.2,1,,
41,Sugarbeets,Croplands,Borrelli et al. 2020,root and tuber vegetables-various,0.34,1,,
42,Dry Beans,Croplands,Borrelli et al. 2020,legumes vegetables-various,0.32,1,,
43,Potatoes,Croplands,Borrelli et al. 2020,root and tuber vegetables-various,0.34,1,,
44,Other Crops,Croplands,Woznicki et al. 2020,cultivated crops,0.17,1,,
46,Sweet Potatoes,Croplands,Borrelli et al. 2020,root and tuber vegetables-various,0.34,1,,
47,Misc Vegs & Fruits,Croplands,Borrelli et al. 2020,fruiting vegetables-various,0.25,1,,
49,Onions,Croplands,Borrelli et al. 2020,bulb vegetables-various,0.3,1,,
50,Cucumbers,Croplands,Borrelli et al. 2020,cucurbit vegetables-various,0.25,1,,
53,Peas,Croplands,Borrelli et al. 2020,legumes vegetables-various,0.32,1,,
57,Herbs,Croplands,Borrelli et al. 2020,shrubs herbs and spices group-shrubs herbs and spices,0.15,1,,
58,Clover/Wildflowers,Croplands,Borrelli et al. 2020,"forage, fodder, and straw of cereal grains group-mixed-grasses",0.1,1,,
59,Sod/Grass Seed,Croplands,Borrelli et al. 2020,"forage, fodder, and straw of cereal grains group-mixed-grasses",0.1,1,,
60,Switchgrass,Croplands,Borrelli et al. 2020,"forage, fodder, and straw of cereal grains group-mixed-grasses",0.1,1,,
61,Fallow/Idle Cropland,Croplands,Panagos et al. 2015,"land principally used for agriculture, with signfiicant areas of natural vegetation",0.1232,1,,
68,Apples,Croplands,Panagos et al. 2015,fruit trees & berry plantations,0.2188,1,,
70,Christmas Trees,Croplands,Panagos et al. 2015,agro-forestry areas,0.0881,1,,
205,Triticale,Croplands,Borrelli et al. 2020,cereal grains-various,0.2,1,,
206,Carrots,Croplands,Borrelli et al. 2020,root and tuber vegetables-various,0.34,1,,
216,Peppers,Croplands,Borrelli et al. 2020,fruiting vegetables-various,0.25,1,,
222,Squash,Croplands,Borrelli et al. 2020,cucurbit vegetables-various,0.25,1,,
225,Dbl Crop WinWht/Corn,Croplands,Borrelli et al. 2020,avg cereal grains-various + cereal grains-maize,0.29,1,0.2,0.38
226,Dbl Crop Oats/Corn,Croplands,Borrelli et al. 2020,avg cereal grains-various + cereal grains-maize,0.29,1,0.2,0.38
